Variable,Code,Category,Salt Lake
Crash Severity,5,Fatal,0.0027667288018669916
Crash Severity,1,No injury / PDO,0.6900933495765511
Crash Severity,2,Possible injury,0.186732177716458
Crash Severity,3,Suspected Minor Injury,0.1037156360540723
Crash Severity,4,Suspected Serious Injury,0.01669210785105165
Light Condition,2,Dark - Lighted,0.1729443993431271
Light Condition,3,Dark - Not Lighted,0.06529064400974188
Light Condition,4,Dark - Unknown Lighting,0.009545415790897935
Light Condition,5,Dawn,0.012688915826114033
Light Condition,1,Daylight,0.720662210903645
Light Condition,6,Dusk,0.01886841412647398
Weather Condition,9,Blowing Sand / Dirt,0.00010758911346570504
Weather Condition,5,Blowing Snow,0.0023780904045350667
Weather Condition,1,Clear,0.7193074229068352
Weather Condition,2,Cloudy,0.16589499302525748
Weather Condition,7,"Fog, Smog",0.00254132905944855
Weather Condition,3,Rain,0.05252945715727302
Weather Condition,8,Severe Crosswinds,0.0003821268512747455
Weather Condition,6,"Sleet, Hail",0.0006752144362330454
Weather Condition,4,Snowing,0.05618377704567715
Road Surface,10,Dirt,0.0003998252615523586
Road Surface,1,Dry,0.8344834479745888
Road Surface,11,Gravel,0.0001999126307761793
Road Surface,5,Ice / Frost,0.01597450003331877
Road Surface,7,Mud,5.5531286326716474e-05
Road Surface,9,Oil,5.182920057160204e-05
Road Surface,97,Other,0.00032578354645007
Road Surface,8,Sand / Dirt / Gravel,0.0004479523763688462
Road Surface,4,Slush,0.009444020761296915
Road Surface,3,Snow,0.038957048401069165
Road Surface,6,Water,0.0009255214387786079
Road Surface,2,Wet,0.09873462708890189
